,description,book_id
0,"
Blend your creative spirit with the quick and easy projects found inside Simply Beautiful Beading.From casual to sophisticated, and everything in between, you'll find beading designs to fit your personal style. Inside, you'll discover 53 simple yet stylish beading projects for exquisite jewelry, accessories and home decor, including: •modern glass bead chokers•semiprecious
Blend your creative spirit with the quick and easy projects found inside Simply Beautiful Beading.From casual to sophisticated, and everything in between, you'll find beading designs to fit your personal style. Inside, you'll discover 53 simple yet stylish beading projects for exquisite jewelry, accessories and home decor, including: •modern glass bead chokers•semiprecious stone set•charm bracelets•wired-pearl barrettes•wineglass charms•hanging votive candle holder•and more than 35 variation projects for even more simply beautiful ideas!
...more
",100
1,"
“A story of love and loss, Chasing Jordan is a quiet novel with a thunderclap at its heart. With this first novel, Ms. Boehringer gives notice that she is a writer to watch. This is my kind of novel. Whatever Heidi Boehringer writes next, I will read.”—Harry CrewsWhen Meg approaches home with her daughter in the back seat, she sees her husband spying on the neighbor, who
“A story of love and loss, Chasing Jordan is a quiet novel with a thunderclap at its heart. With this first novel, Ms. Boehringer gives notice that she is a writer to watch. This is my kind of novel. Whatever Heidi Boehringer writes next, I will read.”—Harry CrewsWhen Meg approaches home with her daughter in the back seat, she sees her husband spying on the neighbor, who is gardening in very short shorts. In this moment of distraction, she hits and kills her two-year-old son, Jordan.With humor that is both provocative and totally unpredictable, Chasing Jordan shows how the road to forgiveness is both twisted and dangerous.
...more
",101
2,"
 Connor Riordan was the last Person she wanted to walk down the aisle with... Even if it was only at her brother's wedding. It was too painful a reminder of Beth Curtis's girlhood fantasies, featuring none other than Connor himself. That crush had culminated in one night of passion and seven years of bitterness; and even now, Beth's anger warred against her attraction

Connor Riordan was the last Person she wanted to walk down the aisle with...
Even if it was only at her brother's wedding. It was too painful a reminder of Beth Curtis's girlhood fantasies, featuring none other than Connor himself. That crush had culminated in one night of passion and seven years of bitterness; and even now, Beth's anger warred against her attraction toward Connor. Still, there was too much history--too many secrets--that would prevent her from ever loving him again.But when a storm strands the two together, Beth is in for a surprise. Connor has a secret of his own. He plans on seducing Beth--a seduction seven years in the making...
...more
",102
3,"
Centuries have passed on Dune, and the planet is green with life. Leto, the son of Dune's savior, is still alive but far from human, and the fate of all humanity hangs on his awesome sacrifice...""Rich fare...heady stuff.""--Los Angeles Times
",103
4,"
Here is the novel that will be forever considered a triumph of the imagination. Set on the desert planet Arrakis, Dune is the story of the boy Paul Atreides, who would become the mysterious man known as Muad'Dib. He would avenge the traitorous plot against his noble family--and would bring to fruition humankind's most ancient and unattainable dream.A stunning blend of
Here is the novel that will be forever considered a triumph of the imagination. Set on the desert planet Arrakis, Dune is the story of the boy Paul Atreides, who would become the mysterious man known as Muad'Dib. He would avenge the traitorous plot against his noble family--and would bring to fruition humankind's most ancient and unattainable dream.A stunning blend of adventure and mysticism, environmentalism and politics, Dune won the first Nebula Award, shared the Hugo Award, and formed the basis of what it undoubtedly the grandest epic in science fiction.
...more
",104
5,"
The desert planet Arrakis, called Dune, has been destroyed. Now, the Bene Gesserit, heirs to Dune's power, have colonized a green world--and are turning it into a desert, mile by scorched mile.Here is the last book Frank Herbert wrote before his death. A stunning climax to the epic Dune legend that will live on forever...
",105
6,"
Dune Messiah continues the story of the man Muad'dib, heir to a power unimaginable, bringing to completion the centuries-old scheme to create a super-being.""Brilliant...It is all that Dune was, and maybe a little bit more.""--Galaxy Magazine
",106
7,"
Everyone knows Frank Herbert's Dune.This amazing and complex epic, combining politics, religion, human evolution, and ecology, has captured the imagination of generations of readers. One of the most popular science fiction novels ever written, it has become a worldwide phenomenon, winning awards, selling millions of copies around the world. In the prophetic year of 1984, 
Everyone knows Frank Herbert's Dune.This amazing and complex epic, combining politics, religion, human evolution, and ecology, has captured the imagination of generations of readers. One of the most popular science fiction novels ever written, it has become a worldwide phenomenon, winning awards, selling millions of copies around the world. In the prophetic year of 1984, Dune was made into a motion picture directed by David Lynch, and it has recently been produced as a three-part miniseries on the Sci-Fi Channel. Though he is best remembered for Dune, Frank Herbert was the author of more than twenty books at the time of his tragic death in 1986, including such classic novels as The Green Brain, The Santaroga Barrier, The White Plague and Dosadi Experiment.Brian Herbert, Frank Herbert's eldest son, tells the provocative story of his father's extraordinary life in this honest and loving chronicle. He has also brought to light all the events in Herbert's life that would find their way into speculative fiction's greatest epic.From his early years in Tacoma, Washington, and his education at the University of Washington, Seattle, and in the Navy, through the years of trying his hand as a TV cameraman, radio commentator, reporter, and editor of several West Coast newspaper, to the difficult years of poverty while struggling to become a published writer, Herbert worked long and hard before finding success after the publication of Dune in 1965. Brian Herbert writes about these years with a truthful intensity that brings every facet of his father's brilliant, and sometimes troubled, genius to full light.Insightful and provocative, containing family photos never published anywhere, this absorbing biography offers Brian Herbert' unique personal perspective on one of the most enigmatic and creative talents of our time.Dreamer of Dune is a 2004 Hugo Award Nominee for Best Related Work.
...more
",107
8,"
Based on Frank Herbert's ""Dune"", the epic new SCI FI Channel mini-series embodies science fiction adventure at its grandest! This lavish new production, starring William Hurt, Alec Newman and Giancarlo Giannini, and featuring the direction of John Harrison and the cinematography of Vittorio Storaro, sets a new standard. Faithful in all aspects to Herbert's vision, it
Based on Frank Herbert's ""Dune"", the epic new SCI FI Channel mini-series embodies science fiction adventure at its grandest! This lavish new production, starring William Hurt, Alec Newman and Giancarlo Giannini, and featuring the direction of John Harrison and the cinematography of Vittorio Storaro, sets a new standard. Faithful in all aspects to Herbert's vision, it presents ""Dune"" for the first time in its full complexity...the most magnificent adaptation ever on the screen.On an exclusive footage-packed DVD designed especially for this book, ""The Secrets of Frank Herbert's Dune"" shows you why The SCI FI Channel gave the mini-series the biggest production budget in its history!""The Secrets The Secrets of Frank Herbert's Dune"" is a dazzling book-and-DVD treasury of behind-the-scenes production stills, interviews, video clips and drawings -- many exclusive to this edition.
...more
",108
9,"
Leto Atreides, the God Emperor of Dune, is dead. In the fifteen hundred years since his passing, the Empire has fallen into ruin. The great Scattering saw millions abandon the crumbling civilization and spread out beyond the reaches of known space. The planet Arrakis-now called Rakis-has reverted to its desert climate, and its great sandworms are dying. Now, the Lost Ones
Leto Atreides, the God Emperor of Dune, is dead. In the fifteen hundred years since his passing, the Empire has fallen into ruin. The great Scattering saw millions abandon the crumbling civilization and spread out beyond the reaches of known space. The planet Arrakis-now called Rakis-has reverted to its desert climate, and its great sandworms are dying. Now, the Lost Ones are returning home in pursuit of power. And as factions vie for control over the remnants of the Empire, a girl named Sheeana rises to prominence in the wastelands of Rakis, sending religious fervor throughout the galaxy. For she possesses the abilities of the Fremen sandriders-fulfilling a prophecy foretold by the late God Emperor...
...more
",109
